cuda is available
True True
Epoch [1/50000], Loss: 831.6046True True
Epoch [2/50000], Loss: 704.1426True True
Epoch [3/50000], Loss: 580.7849True True
Epoch [4/50000], Loss: 469.2214True True
Epoch [5/50000], Loss: 382.3341True True
Epoch [6/50000], Loss: 320.1807True True
Epoch [7/50000], Loss: 314.9369True True
Epoch [8/50000], Loss: 376.8234True True
Epoch [9/50000], Loss: 476.7989True True
Epoch [10/50000], Loss: 529.4838True True
Epoch [11/50000], Loss: 487.0529True True
Epoch [12/50000], Loss: 393.9558True True
Epoch [13/50000], Loss: 311.8833True True
Epoch [14/50000], Loss: 266.2394True True
Epoch [15/50000], Loss: 252.2876True True
Epoch [16/50000], Loss: 255.8568True True
Epoch [17/50000], Loss: 265.7170True True
Epoch [18/50000], Loss: 276.4648True True
Epoch [19/50000], Loss: 286.3524True True
Epoch [20/50000], Loss: 294.4507True True
Epoch [21/50000], Loss: 299.4397True True
Epoch [22/50000], Loss: 300.0681True True
Epoch [23/50000], Loss: 295.9849True True
Epoch [24/50000], Loss: 287.8724True True
Epoch [25/50000], Loss: 276.8506True True
Epoch [26/50000], Loss: 263.8182True True
Epoch [27/50000], Loss: 249.3012True True
Epoch [28/50000], Loss: 233.8610True True
Epoch [29/50000], Loss: 218.6531True True
Epoch [30/50000], Loss: 205.5816True True
Epoch [31/50000], Loss: 196.7566True True
Epoch [32/50000], Loss: 193.3946True True
Epoch [33/50000], Loss: 194.7613True True
Epoch [34/50000], Loss: 198.0441True True
Epoch [35/50000], Loss: 199.6441True True
Epoch [36/50000], Loss: 197.1501True True
Epoch [37/50000], Loss: 190.4729True True
Epoch [38/50000], Loss: 181.5157True True
Epoch [39/50000], Loss: 172.9359True True
Epoch [40/50000], Loss: 166.8485True True
Epoch [41/50000], Loss: 164.0094True True
Epoch [42/50000], Loss: 163.7134True True
Epoch [43/50000], Loss: 164.3419True True
Epoch [44/50000], Loss: 164.2599True True
Epoch [45/50000], Loss: 162.5482True True
Epoch [46/50000], Loss: 159.1452True True
Epoch [47/50000], Loss: 154.5282True True
Epoch [48/50000], Loss: 149.4814True True
Epoch [49/50000], Loss: 145.0659True True
Epoch [50/50000], Loss: 142.2841True True
Epoch [51/50000], Loss: 141.3185True True
Epoch [52/50000], Loss: 141.1877True True
Epoch [53/50000], Loss: 140.4758True True
Epoch [54/50000], Loss: 138.4353True True
Epoch [55/50000], Loss: 135.3731True True
Epoch [56/50000], Loss: 132.2505True True
Epoch [57/50000], Loss: 130.0184True True
Epoch [58/50000], Loss: 129.0223True True
Epoch [59/50000], Loss: 128.8010True True
Epoch [60/50000], Loss: 128.5274True True
Epoch [61/50000], Loss: 127.6813True True
Epoch [62/50000], Loss: 126.2469True True
Epoch [63/50000], Loss: 124.4861True True
Epoch [64/50000], Loss: 122.8237True True
Epoch [65/50000], Loss: 121.7279True True
Epoch [66/50000], Loss: 121.2899True True
Epoch [67/50000], Loss: 121.0623True True
Epoch [68/50000], Loss: 120.5465True True
Epoch [69/50000], Loss: 119.6266True True
Epoch [70/50000], Loss: 118.5155True True
Epoch [71/50000], Loss: 117.5587True True
Epoch [72/50000], Loss: 116.9846True True
Epoch [73/50000], Loss: 116.6947True True
Epoch [74/50000], Loss: 116.4095True True
Epoch [75/50000], Loss: 115.9473True True
Epoch [76/50000], Loss: 115.3026True True
Epoch [77/50000], Loss: 114.6238True True
Epoch [78/50000], Loss: 114.0910True True
Epoch [79/50000], Loss: 113.7318True True
Epoch [80/50000], Loss: 113.4322True True
Epoch [81/50000], Loss: 113.0594True True
Epoch [82/50000], Loss: 112.5494True True
Epoch [83/50000], Loss: 111.9829True True
Epoch [84/50000], Loss: 111.4982True True
Epoch [85/50000], Loss: 111.1212True True
Epoch [86/50000], Loss: 110.7864True True
Epoch [87/50000], Loss: 110.4216True True
